Sample,I mean,I std,I var,sigma2 mean,sigma2 std,sigma2 var
0,7.779472827911377,2.572327513415999,6.616868836276938,0.015892067874249603,0.011657831558759138,0.00013590503665240054
1,7.842034714562552,2.5949016866376917,6.733514763315137,0.0174923748044031,0.012335991685991516,0.0001521766908768518
2,7.922588075910296,2.619405462959379,6.861284979381438,0.01987918436394206,0.013149233856565327,0.00017290235101464387
3,8.020856652941022,2.646875544576381,7.005950148476512,0.02304470509157649,0.013952289150305358,0.00019466637253372863
4,8.138782773699079,2.680249989080335,7.183740003965136,0.027356366394087672,0.015286073871635447,0.0002336640544090959
5,8.2784149987357,2.720722197972758,7.402329278541717,0.03264259227684566,0.01721076418951623,0.00029621040398713426
6,8.437221595219203,2.7654691272761815,7.6478194939176865,0.03889208612963557,0.020353637288812818,0.00041427055088455163
7,8.615306411470685,2.8109576814693296,7.90148308701143,0.04527212819084525,0.02385684619271284,0.0005691491102627571
8,8.802752222333636,2.8667000431527043,8.217969137411718,0.05243156996688673,0.028492179167098116,0.0008118042736900198
9,9.023108618600029,2.9414543668912687,8.652153792503714,0.06043194453897221,0.03347431418355182,0.0011205297100591385
10,9.265784467969622,3.0220051235053353,9.132514966492497,0.06930668825017554,0.039710839134638284,0.0015769507447771195
11,9.520194053649902,3.1160022649578676,9.709470115222562,0.07815613304930073,0.045506054183117275,0.0020708009673168055
12,9.787043843950544,3.2150334088659376,10.33643982012413,0.08727875950613193,0.05209087858702745,0.0027134596319684347
13,10.074395860944476,3.3464717839123246,11.198873400521336,0.09694489770169769,0.05898527791579293,0.0034792630108033294
14,10.370755876813616,3.467602086244063,12.024264228524178,0.10692054113107068,0.0661155639856032,0.004371267801134391
15,10.68942390169416,3.610536594619652,13.035974501087674,0.11714177192854029,0.07291138811192231,0.005316070516407366
16,11.023152010781425,3.75973340982372,14.135595312944698,0.12682575479682004,0.07922232462244391,0.006276176718583883
17,11.371137142181396,3.92030849791013,15.36881871878638,0.1359392935410142,0.0861257527687409,0.007417645289982281
18,11.73011861528669,4.091153268403001,16.737535065564558,0.14685000931578024,0.09427346991222747,0.008887487129291658
19,12.118134021759033,4.276195494591341,18.28584790796328,0.15663924653615272,0.10175463405226494,0.010354005551110355
20,12.526133401053292,4.477862044070353,20.051248485725914,0.1667942154620375,0.10912980427300562,0.011909314180664515
21,12.9489198412214,4.700760666802909,22.097150846561323,0.1758634163332837,0.11622647199700281,0.01350859279287008
22,13.36175046648298,4.932652689307983,24.331062553337283,0.18490087826337134,0.12362275098312836,0.015282584560636565
23,13.811309882572719,5.1896036248392,26.931985782944164,0.19300824802901065,0.12953346208894018,0.016778917800746904
24,14.285656111580986,5.451301410578533,29.7166870689755,0.20160500785069807,0.13668473567086473,0.018682716965414164
25,14.778527396065849,5.734358598440645,32.882868535510156,0.2099515250218766,0.14405673176963105,0.02075234196814743
26,15.280811514173235,6.027464070524448,36.330323121463145,0.21737033634313516,0.14945316713025103,0.022336249165262743
27,15.807896137237549,6.336067091492976,40.14574618790026,0.22488674521446228,0.15648600708720703,0.024487870414097408
28,16.367069448743546,6.662122270930322,44.38387315282579,0.23046617076865264,0.1597689652216023,0.025526122247981564
29,16.933665003095353,7.01314608902228,49.1842180659685,0.23556857396449363,0.16515126991572682,0.027274941954777254
30,17.498423440115793,7.360652124230873,54.17919969394446,0.2428912025477205,0.17185922234669623,0.02953559230561117
31,18.1041750226702,7.721664158471728,59.62409737622689,0.24787632083254202,0.17593403744493927,0.030952785531677292
32,18.72152832576207,8.116837595824453,65.8830525569893,0.2521971533341067,0.18011323612412256,0.032440777827103924
33,19.34519168308803,8.509081155410442,72.4044621093611,0.25665056120072094,0.18318604582693732,0.03355712738570878
34,19.979675565447128,8.910800552228533,79.40236648159635,0.2592282492135252,0.1858552728814173,0.03454218245782609
35,20.64176286969866,9.347601816064994,87.37765971170157,0.26024697268647806,0.1878263664875793,0.035278743947926454
36,21.308629717145646,9.788461446192343,95.81397748359392,0.2599638205553804,0.1874145821189201,0.035124225590809445
37,22.02823175702776,10.269527932735418,105.46320396123299,0.260430267612849,0.18918356346210638,0.03579042068422083
38,22.741382326398575,10.768418327349384,115.95883327279411,0.2567143440246582,0.18725447035627302,0.035064236668408334
39,23.469961166381836,11.255651453406005,126.6896896405607,0.2530306090733835,0.18548852557645143,0.03440599312052588
40,24.26142351967948,11.775200595287455,138.65534905925801,0.2463719371174063,0.18123230907003696,0.0328451498508574
41,25.055282184055873,12.317082469512835,151.7105205607804,0.2370819499982255,0.17493963770002594,0.030603876838616335
42,25.879957335335867,12.866465703231961,165.54593969244434,0.22689594754150935,0.1683939229030907,0.02835651327069205
43,26.70167432512556,13.45479607189861,181.03153733637828,0.21314201823302678,0.15789166152873715,0.0249297767803053
44,27.579672949654714,14.079078689782847,198.2204567530975,0.19532842694648675,0.14421152835946974,0.020796964911774147
45,28.49284471784319,14.731220863777557,217.00886813739518,0.172861277391868,0.12811223796549526,0.01641274551652768
46,29.42951011657715,15.40573601008575,237.3367020124528,0.14637162549687283,0.10672934250054009,0.011391152550597592
47,30.39971787588937,16.123020310499793,259.9517839327888,0.11524760669895581,0.08212993127503439,0.006745325611241872
48,31.41349424634661,16.850857778470584,283.9514078702426,0.0838908776640892,0.05684993232425945,0.0032319148052728794
49,32.522001538957866,17.606100487714023,309.974774383484,0.03622133372950235,0.021485435586460967,0.00046162394233996337
50,33.122015135628835,17.812382913093085,317.28098504265046,0.0,0.0,0.0
