Group,1BXR_AB,1BXR_AB,1BXR_AB,2D1P_BC,2D1P_BC,2D1P_BC,3RRL_AB,3RRL_AB,3RRL_AB,2Y69_AC,2Y69_AC,2Y69_AC,1EP3_AB,1EP3_AB,1EP3_AB,2Y69_AB,2Y69_AB,2Y69_AB,1RM6_AB,1RM6_AB,1RM6_AB
Subgroup,sample,i(mean),var,sample,i(mean),var,sample,i(mean),var,sample,i(mean),var,sample,i(mean),var,sample,i(mean),var,sample,i(mean),var
0,0,4.796551704406738,0.005248429719358683,0,10.867094993591309,0.03463031351566315,0,7.433706760406494,0.00931528676301241,0,9.564172744750977,0.02416648529469967,0,7.931804180145264,0.027226679027080536,0,10.331547737121582,0.008760908618569374,0,3.5314316749572754,0.0018963721813634038
1,20,4.847256183624268,0.005997446831315756,4,10.930915832519531,0.035395242273807526,27,7.479921817779541,0.01080550067126751,17,9.670537948608398,0.02727682888507843,11,7.992452621459961,0.03082648105919361,30,10.426342010498047,0.010166358202695847,32,3.54681658744812,0.001978765707463026
2,40,4.9094767570495605,0.006840122863650322,8,11.001753807067871,0.036697324365377426,54,7.563172340393066,0.013887767679989338,35,9.798977851867676,0.0319410003721714,22,8.064735412597656,0.03452632948756218,60,10.546442031860352,0.013175414875149727,65,3.5735583305358887,0.0020863309036940336
3,61,4.994157314300537,0.007946331985294819,13,11.085695266723633,0.03807178512215614,81,7.689149379730225,0.019225018098950386,52,9.934722900390625,0.03732146695256233,33,8.12791919708252,0.03841095790266991,90,10.707615852355957,0.018003523349761963,98,3.606736660003662,0.002333852229639888
4,81,5.0770955085754395,0.009114625863730907,17,11.1748685836792,0.04023247957229614,108,7.847443103790283,0.026800012215971947,70,10.083303451538086,0.04433897137641907,45,8.221348762512207,0.042797110974788666,121,10.914087295532227,0.025481022894382477,130,3.6533327102661133,0.002730341861024499
5,102,5.166965484619141,0.010747719556093216,22,11.280098915100098,0.04272916540503502,135,8.051984786987305,0.0368531309068203,88,10.239887237548828,0.05189887806773186,56,8.323479652404785,0.04799085110425949,151,11.173484802246094,0.035006824880838394,163,3.7130041122436523,0.003271576017141342
6,122,5.267756938934326,0.012248283252120018,26,11.371879577636719,0.045395176857709885,162,8.301855087280273,0.04923931509256363,105,10.422525405883789,0.06289425492286682,67,8.434603691101074,0.05351829528808594,181,11.479156494140625,0.044906117022037506,196,3.782773971557617,0.00404316047206521
7,143,5.396612644195557,0.014478073455393314,30,11.432454109191895,0.04757412523031235,190,8.619791030883789,0.06286866962909698,123,10.644695281982422,0.07606314867734909,78,8.557723045349121,0.05943363904953003,212,11.867671012878418,0.056186333298683167,229,3.8668065071105957,0.004815282300114632
8,163,5.508981704711914,0.016242673620581627,35,11.602814674377441,0.05289650335907936,217,8.937949180603027,0.07700557261705399,140,10.807753562927246,0.0881456807255745,90,8.713547706604004,0.06751283258199692,242,12.266321182250977,0.06743580847978592,261,3.9566850662231445,0.005452667362987995
9,184,5.649563789367676,0.018528243526816368,39,11.695650100708008,0.05647459998726845,244,9.288497924804688,0.09191543608903885,158,11.0650634765625,0.10384462028741837,101,8.867183685302734,0.07440485805273056,272,12.713321685791016,0.07885962724685669,294,4.061521053314209,0.006189471576362848
10,204,5.809945106506348,0.020076939836144447,44,11.86181354522705,0.06148058548569679,271,9.671515464782715,0.1089029610157013,176,11.328974723815918,0.1206604614853859,112,9.027583122253418,0.08245281130075455,302,13.206972122192383,0.09124191105365753,327,4.1823601722717285,0.006919046398252249
11,225,5.970376968383789,0.021847182884812355,48,12.006437301635742,0.06656919419765472,298,10.07766342163086,0.1258881390094757,193,11.587859153747559,0.13577671349048615,123,9.18679428100586,0.09151431918144226,333,13.768077850341797,0.10480392724275589,360,4.301380157470703,0.007639633025974035
12,245,6.124130725860596,0.02340051718056202,52,12.117437362670898,0.0704384371638298,325,10.551047325134277,0.14193987846374512,211,11.886871337890625,0.1559423804283142,135,9.345897674560547,0.10003086924552917,363,14.322915077209473,0.1176801472902298,392,4.425564765930176,0.00851088110357523
