,systems,Inat,I* (for 4 elites),I0,sigma0,alpha*,alpha* norm,alpha_norm,Unnamed: 8,Unnamed: 9,Prob_i,Prob_i 6,model_tp_200,model_tp_100,model_tp_50,model_reass_tp_50,model_reass_tp_100,model_reass_tp_200
0,1B70_AB,35.67145812,25.9891597,11.76074274,0.01120240061,14.22841696,0.5474750675,0.6703038407,4.0,1.0,0.4166666667,0.6666666667,0.015,0.04,0.04,1.0,0.98,0.88
1,1BXR_AB,19.17855327,15.96544504,4.717417048,0.006947191391,11.24802799,0.7045232979,0.7540264388,5.0,4.0,0.75,0.8333333333,0.035,0.13,0.14,0.96,0.9,0.88
2,1EFP_AB,65.05031755,46.1742304,14.3049844,0.01825575676,31.869246,0.6901954992,0.7800935501,4.0,2.0,0.5,0.6666666667,0.005,0.02,0.02,1.0,1.0,0.895
3,1EP3_AB,22.94531854,22.91636,7.762327199,0.03288461639,15.1540328,0.6612757349,0.6617032278,5.0,6.0,0.9166666667,0.8333333333,0.0,0.03,0.14,0.98,0.9,0.88
4,1I1Q_AB,9.752324175,12.449054,3.013708878,0.002932638309,9.435345122,0.7579166354,0.6909753179,2.0,0.0,0.1666666667,0.3333333333,0.27,0.63,0.62,0.72,0.72,0.725
5,1QOP_AB,14.74146913,13.38011,2.773227268,0.004921769695,10.60688273,0.792735092,0.8118757877,2.0,1.0,0.25,0.3333333333,0.135,0.82,0.9,0.94,0.86,0.86
6,1RM6_AB,19.67339949,14.2275176,4.212003495,0.002981422027,10.0155141,0.7039537315,0.785903626,2.0,1.0,0.25,0.3333333333,0.055,0.07,0.06,0.98,0.9,0.88
7,1RM6_AC,27.48407991,20.86734277,5.020133297,0.005979879445,15.84720947,0.759426327,0.8173439564,2.0,1.0,0.25,0.3333333333,0.02,0.04,0.04,0.98,0.97,0.885
8,1RM6_BC,24.01471371,17.18453637,4.863211103,0.004221696611,12.32132527,0.7170007384,0.7974903569,3.0,3.0,0.5,0.5,0.035,0.04,0.04,0.98,0.94,0.875
9,1TYG_AB,15.39678185,13.0743706,4.515146053,0.004925932854,8.559224547,0.654656718,0.7067474167,1.0,2.0,0.25,0.1666666667,0.49,0.79,0.86,0.9,0.84,0.84
10,1W85_AB,31.16156718,20.46949677,5.878994972,0.005472918412,14.5905018,0.7127924033,0.8113382765,5.0,4.0,0.75,0.8333333333,0.02,0.03,0.02,1.0,0.98,0.885
11,1ZUN_AB,23.72691605,26.15266958,8.612006329,0.02996619928,17.54066325,0.6707025911,0.6370364227,6.0,6.0,1.0,1.0,0.0,0.04,0.22,0.98,0.9,0.88
12,2D1P_BC,15.54088432,15.9478694,8.26847939,0.03127946695,7.67939001,0.4815307811,0.4679530958,0.0,1.0,0.08333333333,0.0,0.0,0.06,0.64,0.74,0.74,0.735
13,2NU9_AB,29.5207695,27.7209127,5.879434862,0.02620737132,21.84147784,0.7879061586,0.800837344,3.0,3.0,0.5,0.5,0.0,0.04,0.06,1.0,0.98,0.885
14,2VPZ_AB,36.3049604,31.399682,13.58139918,0.02547672063,17.81828282,0.5674669831,0.6259078915,2.0,1.0,0.25,0.3333333333,0.005,0.04,0.06,0.98,0.97,0.88
15,2WDQ_CD,7.863647421,9.1447691,3.19206542,0.01465435478,5.95270368,0.65094084,0.5940731763,2.0,2.0,0.3333333333,0.3333333333,0.0,0.41,0.46,0.6,0.59,0.6
16,2Y69_AB,65.8445856,48.6201882,10.21884894,0.0121125412,38.40133926,0.7898229251,0.8448035045,6.0,5.0,0.9166666667,1.0,0.01,0.01,0.0,1.0,1.0,0.895
17,2Y69_AC,32.5334949,30.4166998,9.404696077,0.02940099789,21.01200372,0.6908048493,0.7109226627,6.0,6.0,1.0,1.0,0.0,0.03,0.08,1.0,0.98,0.88
18,3G5O_AB,32.87975502,28.374394,10.97834831,0.01320756012,17.39604569,0.6130895936,0.6661061402,5.0,4.0,0.75,0.8333333333,0.015,0.04,0.06,0.98,0.97,0.88
19,3IP4_AB,7.168040905,8.5777195,2.080693264,0.009522472504,6.497026236,0.7574304844,0.7097263685,4.0,0.0,0.3333333333,0.6666666667,0.135,0.42,0.5,0.64,0.62,0.63
20,3IP4_AC,22.00315001,17.20363921,6.375212764,0.01328136202,10.82842645,0.6294265018,0.7102590873,3.0,3.0,0.5,0.5,0.01,0.06,0.12,0.98,0.91,0.88
21,3IP4_BC,21.92810625,18.42998002,7.5518992,0.01269292032,10.87808082,0.5902383404,0.6556064115,3.0,3.0,0.5,0.5,0.015,0.08,0.18,0.96,0.9,0.88
22,3MML_AB,34.28341747,24.9686521,7.07110746,0.008953219422,17.89754464,0.7168005933,0.7937455487,2.0,3.0,0.4166666667,0.3333333333,0.015,0.03,0.02,1.0,0.99,0.885
23,3OAA_HG,34.31169411,28.434845,12.95422264,0.01652107283,15.48062236,0.5444243623,0.6224545894,2.0,3.0,0.4166666667,0.3333333333,0.0,0.05,0.06,0.98,0.97,0.88
24,3PNL_AB,20.73988854,17.7658096,4.75628096,0.007690503267,13.00952864,0.7322789635,0.7706698881,4.0,4.0,0.6666666667,0.6666666667,0.025,0.09,0.08,0.98,0.91,0.88
25,3RRL_AB,62.52501913,47.31157344,7.554292581,0.01515619699,39.75728086,0.840328866,0.8791796838,6.0,3.0,0.75,1.0,0.005,0.01,0.02,1.0,1.0,0.895
